sku,product_name,category,brand,unit_cost,unit_price,shelf_capacity_units,lead_time_days,supplier_id
SKU10000,Hortifruti MarcaA 000,Hortifruti,MarcaA,6.1,9.23,76,2,FORN200
SKU10001,Congelados MarcaB 001,Congelados,MarcaB,22.16,30.89,31,4,FORN201
SKU10002,Limpeza MarcaC 002,Limpeza,MarcaC,21.8,29.27,30,3,FORN202
SKU10003,Padaria MarcaPropria 003,Padaria,MarcaPropria,10.93,16.9,53,2,FORN203
SKU10004,Limpeza Premium 004,Limpeza,Premium,18.35,27.49,22,6,FORN204
SKU10005,Hortifruti Regional 005,Hortifruti,Regional,4.05,5.77,80,2,FORN205
SKU10006,Laticinios MarcaA 006,Laticinios,MarcaA,18.02,24.37,84,1,FORN206
SKU10007,Congelados MarcaB 007,Congelados,MarcaB,21.44,30.16,136,6,FORN207
SKU10008,Hortifruti MarcaC 008,Hortifruti,MarcaC,4.89,7.32,206,2,FORN208
SKU10009,Laticinios MarcaPropria 009,Laticinios,MarcaPropria,14.97,20.09,43,3,FORN209
SKU10010,Hortifruti Premium 010,Hortifruti,Premium,3.95,6.37,59,2,FORN210
SKU10011,Padaria Regional 011,Padaria,Regional,7.71,13.79,25,1,FORN211
SKU10012,Laticinios MarcaA 012,Laticinios,MarcaA,17.47,23.02,42,1,FORN212
SKU10013,Limpeza MarcaB 013,Limpeza,MarcaB,25.71,35.91,44,7,FORN213
SKU10014,Padaria MarcaC 014,Padaria,MarcaC,14.62,23.18,146,2,FORN214
SKU10015,Hortifruti MarcaPropria 015,Hortifruti,MarcaPropria,5.41,8.3,64,1,FORN200
SKU10016,Mercearia Premium 016,Mercearia,Premium,13.85,19.65,48,3,FORN201
SKU10017,Mercearia Regional 017,Mercearia,Regional,21.24,28.6,20,4,FORN202
SKU10018,Limpeza MarcaA 018,Limpeza,MarcaA,10.96,15.32,33,6,FORN203
SKU10019,Congelados MarcaB 019,Congelados,MarcaB,28.81,42.84,10,3,FORN204
SKU10020,Bebidas MarcaC 020,Bebidas,MarcaC,7.35,10.16,60,3,FORN205
SKU10021,Limpeza MarcaPropria 021,Limpeza,MarcaPropria,5.75,8.17,28,7,FORN206
SKU10022,Padaria Premium 022,Padaria,Premium,2.1,3.66,52,1,FORN207
SKU10023,Bebidas Regional 023,Bebidas,Regional,11.1,15.55,24,2,FORN208
SKU10024,Padaria MarcaA 024,Padaria,MarcaA,2.15,3.28,25,2,FORN209
SKU10025,Hortifruti MarcaB 025,Hortifruti,MarcaB,3.64,5.29,226,1,FORN210
SKU10026,Laticinios MarcaC 026,Laticinios,MarcaC,8.74,12.35,30,2,FORN211
SKU10027,Higiene MarcaPropria 027,Higiene,MarcaPropria,7.29,10.27,15,5,FORN212
SKU10028,Higiene Premium 028,Higiene,Premium,11.19,16.18,113,6,FORN213
SKU10029,Bebidas Regional 029,Bebidas,Regional,10.16,14.01,503,2,FORN214
SKU10030,Limpeza MarcaA 030,Limpeza,MarcaA,3.33,4.53,22,5,FORN200
SKU10031,Laticinios MarcaB 031,Laticinios,MarcaB,18.57,25.42,44,1,FORN201
