store_id,sku,snapshot_date,on_hand_units,on_order_units,reorder_point,shelf_capacity_units,lead_time_days,days_to_arrival,lost_sales_units,stockout_flag
L100,SKU10000,2026-05-28,73,0,21,76,2,-1,0,0
L100,SKU10001,2026-05-28,29,0,14,31,4,-1,0,0
L100,SKU10002,2026-05-28,24,0,20,30,3,-1,0,0
L100,SKU10003,2026-05-28,47,0,25,53,2,-1,0,0
L100,SKU10004,2026-05-28,20,0,15,22,6,-1,0,0
L100,SKU10005,2026-05-28,68,0,33,80,2,-1,0,0
L100,SKU10006,2026-05-28,75,0,16,84,1,-1,0,0
L100,SKU10007,2026-05-28,128,0,100,136,6,-1,0,0
L100,SKU10008,2026-05-28,178,0,98,206,2,-1,0,0
L100,SKU10009,2026-05-28,40,0,16,43,3,-1,0,0
L100,SKU10010,2026-05-28,51,0,27,59,2,-1,0,0
L100,SKU10011,2026-05-28,25,0,6,25,1,-1,0,0
L100,SKU10012,2026-05-28,37,0,10,42,1,-1,0,0
L100,SKU10013,2026-05-28,38,44,41,44,7,7,0,0
L100,SKU10014,2026-05-28,129,0,46,146,2,-1,0,0
L100,SKU10015,2026-05-28,60,0,14,64,1,-1,0,0
L100,SKU10016,2026-05-28,44,0,17,48,3,-1,0,0
L100,SKU10017,2026-05-28,16,0,9,20,4,-1,0,0
L100,SKU10018,2026-05-28,31,0,27,33,6,-1,0,0
L100,SKU10019,2026-05-28,10,0,7,10,3,-1,0,0
L100,SKU10020,2026-05-28,53,0,25,60,3,-1,0,0
L100,SKU10021,2026-05-28,26,0,20,28,7,-1,0,0
L100,SKU10022,2026-05-28,39,0,14,52,1,-1,0,0
L100,SKU10023,2026-05-28,22,0,9,24,2,-1,0,0
L100,SKU10024,2026-05-28,23,0,9,25,2,-1,0,0
L100,SKU10025,2026-05-28,199,0,76,226,1,-1,0,0
L100,SKU10026,2026-05-28,26,0,10,30,2,-1,0,0
L100,SKU10027,2026-05-28,15,0,11,15,5,-1,0,0
L100,SKU10028,2026-05-28,105,0,78,113,6,-1,0,0
L100,SKU10029,2026-05-28,466,0,145,503,2,-1,0,0
