store_id,sku,audit_date,facings_expected,facings_actual,shelf_gap_flag
L100,SKU10000,2026-05-28,10,10,0
L100,SKU10014,2026-05-28,18,18,0
L100,SKU10028,2026-05-28,14,14,0
L100,SKU10042,2026-05-28,4,4,0
L100,SKU10056,2026-05-28,7,7,0
L100,SKU10070,2026-05-28,8,8,0
L100,SKU10084,2026-05-28,4,4,0
L100,SKU10098,2026-05-28,9,9,0
L100,SKU10112,2026-05-28,12,12,0
L100,SKU10126,2026-05-28,2,2,0
L100,SKU10140,2026-05-28,8,8,0
L100,SKU10154,2026-05-28,7,7,0
L100,SKU10168,2026-05-28,9,9,0
L100,SKU10182,2026-05-28,4,4,0
L100,SKU10196,2026-05-28,10,10,0
L100,SKU10210,2026-05-28,14,12,1
L100,SKU10224,2026-05-28,11,11,0
L100,SKU10238,2026-05-28,5,5,0
L101,SKU10013,2026-05-28,3,3,0
L101,SKU10027,2026-05-28,1,0,1
L101,SKU10041,2026-05-28,2,2,0
L101,SKU10055,2026-05-28,14,14,0
L101,SKU10069,2026-05-28,1,1,0
L101,SKU10083,2026-05-28,3,3,0
L101,SKU10097,2026-05-28,3,3,0
L101,SKU10111,2026-05-28,8,8,0
L101,SKU10125,2026-05-28,9,9,0
L101,SKU10139,2026-05-28,1,1,0
L101,SKU10153,2026-05-28,3,3,0
L101,SKU10167,2026-05-28,7,7,0
